Date,Stock,Predicted_Return,Rank
2025-01-23,ECLERX,-0.21114039421081543,402
2025-01-23,DRREDDY,-0.21154342591762543,403
2025-01-23,LICHSGFIN,-0.21363691985607147,404
2025-01-23,HAPPSTMNDS,-0.2068425714969635,405
2025-01-23,LAURUSLABS,-0.21154344081878662,406
2025-01-23,LUPIN,-0.21154344081878662,407
2025-01-23,SAMMAANCAP,-0.21363691985607147,408
2025-01-23,NATCOPHARM,-0.21154344081878662,409
2025-01-23,DIXON,-0.21347245573997498,410
2025-01-23,ERIS,-0.21154344081878662,411
2025-01-23,AMBER,-0.21347245573997498,412
2025-01-23,LTTS,-0.2068425714969635,413
2025-01-23,HUDCO,-0.21363691985607147,414
2025-01-23,EQUITASBNK,-0.21363693475723267,415
2025-01-23,HONAUT,-0.17402498424053192,416
2025-01-23,ICICIGI,-0.21363693475723267,417
2025-01-23,SONACOMS,-0.20980986952781677,418
2025-01-23,SHREECEM,-0.16507239639759064,419
2025-01-23,GPIL,-0.2112107276916504,420
2025-01-23,SBIN,-0.21363691985607147,421
2025-01-23,GRASIM,-0.20941737294197083,422
2025-01-23,PCBL,-0.21159571409225464,423
2025-01-23,MAPMYINDIA,-0.2068425714969635,424
2025-01-23,SUNPHARMA,-0.21154344081878662,425
2025-01-23,GRINFRA,-0.2068425714969635,426
2025-01-23,IDFCFIRSTB,-0.21363693475723267,427
2025-01-23,EXIDEIND,-0.20980986952781677,428
2025-01-23,RENUKA,-0.2098681628704071,429
2025-01-23,NCC,-0.2068425714969635,430
2025-01-23,POWERINDIA,-0.19040226936340332,431
2025-01-23,SANOFI,-0.1984165459871292,432
2025-01-23,RHIM,-0.21121074259281158,433
2025-01-23,ANANDRATHI,-0.21363691985607147,434
2025-01-23,LTIM,-0.2068425714969635,435
2025-01-23,ALOKINDS,-0.20318537950515747,436
2025-01-23,FINPIPE,-0.2112107276916504,437
2025-01-23,RVNL,-0.2068425714969635,438
2025-01-23,FLUOROCHEM,-0.21159571409225464,439
2025-01-23,TITAN,-0.21347248554229736,440
2025-01-23,FINCABLES,-0.2112107276916504,441
2025-01-23,FACT,-0.21159571409225464,442
2025-01-23,AAVAS,-0.21363693475723267,443
2025-01-23,CIEINDIA,-0.20980986952781677,444
2025-01-23,NEWGEN,-0.2068425714969635,445
